Time	Value
17:25:08	19
17:35:21	43
19:06:08	70
19:16:28	59
19:46:44	95
20:47:08	57
20:52:14	42
20:57:27	23
21:22:58	100
21:48:04	45
15:43:21	40
22:23:27	7
15:43:33	25
15:43:33	20
15:43:52	44
15:43:52	60
15:43:51	15
15:44:02	97
15:44:11	42
15:44:26	15
21:22:48	70
21:47:57	32
22:23:29	67
22:48:33	47
23:03:51	97
23:24:02	59
23:59:26	59
00:34:50	40
00:55:07	79
01:35:18	20
15:44:12	62
01:45:35	46
17:25:02	90
17:35:19	59
19:06:09	34
19:16:17	42
19:16:24	31
19:46:43	79
20:57:26	83
21:22:49	79
22:23:16	25
22:48:34	66
23:03:48	42
23:24:07	60
23:59:30	58
00:34:48	3
00:55:00	65
01:35:24	12
01:45:29	63
15:44:01	66
02:15:47	73
15:44:17	8
17:25:00	92
17:25:09	35
19:06:12	48
19:16:24	67
